"","Kabupaten","ILLITERATE","LOWEDU","NOELECTRIC","FHEAD","FEMALE","ELDERLY","FAMILYSIZE","CHILDREN","NOTRAINING","DPRONE","RENTED","NOSEWER","TAPWATER","kemiskinan","Geo.Laju.Pertumbuhan","UNEMPLOY","Population"
"481",9112,26.26805905,28.96825397,72.75878004,11.00970425,49.88641373,1.027362425,3.407231978,13.6337436,99.65341959,83.32948244,0,52.26432532,0,39.23,2.715096291,0,29731
"482",9171,2.984308964,13.51467964,0.428813376,10.87348204,47.65044369,1.64028413,4.273990126,10.42809266,95.50106302,72.98295557,26.69273179,4.639472451,27.67287665,17.78,3.055562472,12.10779768,239815
"483",9401,9.66693544,37.69867532,5.303149952,11.34509081,48.68791824,3.581877587,3.904694218,9.148393998,99.57181714,98.76107748,13.02623497,7.838904975,4.352022462,10.81,1.568960341,3.18619251,223389
"484",9402,24.91350875,33.77292179,42.07545359,8.961313238,48.55516122,0.300232362,3.394595373,6.407156559,99.76960737,99.69920963,9.287702794,56.60458865,1.630347829,38.62,1.381405477,0.46726008,212811
"485",9403,7.862725407,25.26292298,2.926035405,13.27510047,46.9787845,2.887222843,4.164203394,8.665656405,97.29648942,97.57879704,5.181175064,14.05559799,23.09940549,13.01,0.905444499,10.0729927,125975
"486",9404,9.158389323,25.81881678,7.3633431,9.08283761,46.91690307,2.141423926,4.277427565,9.584169377,96.37455977,76.77054663,10.40279381,10.15715174,3.326526384,25.38,1.70154394,5.809810907,145101
"487",9408,10.69237711,27.43350648,29.59963603,14.98180164,48.60658513,2.329764273,4.300090992,7.381818951,96.96087352,85.83712466,9.949954504,7.142857143,39.78161965,26.82,1.960583285,5.102846366,95007
"488",9409,6.448206268,27.63157895,1.355993491,17.17290424,48.59404537,3.784888246,4.335804255,11.157289,95.89887302,93.95226903,10.69426867,3.429156873,27.68938709,25.44,1.999424305,6.035253545,144697
"489",9410,47.34468905,22.27834914,68.0216105,6.922483228,48.06032321,0.476142713,3.354119254,8.797134884,99.75064812,100,9.168629158,17.89594506,0,37.4,1.736343454,0.481572028,170193
"490",9411,37.58974896,43.76686454,85.08490923,1.364059109,44.82558946,0.437963348,4.223519686,6.628171564,100,99.67965278,0.919706521,66.02941683,0,36.01,3.352662812,0.521679738,123591
